Feature,LDA_Coefficient,Absolute_Coefficient
word_freq_zipf,-2.8723605725605057,2.8723605725605057
word_used_once_or_twice_frequency,-2.8642490523088973,2.8642490523088973
token_type_ratio,2.472058706230157,2.472058706230157
word_freq_subtl,1.780410023290297,1.780410023290297
adposition_frequency,-1.3057003998620147,1.3057003998620147
hapax_legomena_ratio,1.073461910312419,1.073461910312419
noun_token_ratio,-1.0003271358949997,1.0003271358949997
uni_and_bi_grams_repetitions,0.9603452036714248,0.9603452036714248
brunet_index,0.29352534508347006,0.29352534508347006
