Feature,Pitt_Mean,Pitt_Std,Story_Mean,Story_Std,Mean_Difference,Percent_Difference,Cohens_D,Effect_Size,T_Test_P,T_Test_Sig,MannWhitney_P,MannWhitney_Sig,KS_Test_P,KS_Test_Sig,F_Test_P,F_Test_Sig
noun_token_ratio,0.22314357774274973,0.05265375673213558,0.22202568630728167,0.030820930978502633,-0.0011178914354680602,-0.5009740574997938,-0.022543775309361826,Negligible,0.8253186253450707,n.s.,0.7578285328484607,n.s.,0.10361009407029843,n.s.,3.4605211115194148e-06,***
hapax_legomena_ratio,0.45460310845000507,0.12859305129391552,0.4540310563349184,0.10221181849472831,-0.000572052115086652,-0.12583550452109662,-0.004596492925478319,Negligible,0.970123063595459,n.s.,0.9177633023710496,n.s.,0.49295045098176377,n.s.,0.035030714385493385,*
word_used_once_or_twice_frequency,0.5572330130758011,0.12180637231902587,0.5355371106072706,0.0879291961167774,-0.02169590246853048,-3.893506299774662,-0.1859410033833307,Negligible,0.10954454725729612,n.s.,0.17448439539252103,n.s.,0.038964769372573566,*,0.0032294307438568656,**
brunet_index,9.89061572343335,1.2755981404457848,10.267854552622838,0.3570610818959324,0.3772388291894888,3.8141086433649973,0.3223919726007316,Small,2.666147579823596e-05,***,0.002378206961110246,**,6.854880251395275e-08,***,2.4920967927590885e-21,***
token_type_ratio,0.6286180787183775,0.10122766607445928,0.6147874380201863,0.07090435329966473,-0.013830640698191177,-2.20016591415713,-0.14303915407675924,Negligible,0.20879766118342516,n.s.,0.2519026304441955,n.s.,0.03632074596917611,*,0.0013775735950275175,**
adposition_frequency,0.11779560460337414,0.036951550024879626,0.07868520940363936,0.029426574559327047,-0.039110395199734777,-33.20191388415735,-1.0933830781080294,Large,1.9379029019497915e-14,***,2.514344281598885e-13,***,1.900146903410732e-10,***,0.03651538383911567,*
uni_and_bi_grams_repetitions,149.58947368421053,61.38544146634274,181.66666666666666,37.97531163513093,32.077192982456125,21.443482748105914,0.5527212012108694,Medium,5.709684321964855e-07,***,4.035232969146689e-07,***,1.0006055900526786e-07,***,2.5541190854716307e-05,***
word_freq_subtl,7172.743337000353,1220.6537883586561,6909.310894890446,1068.0423718748673,-263.43244210990633,-3.6726874186477443,-0.22029980404520308,Small,0.09394136654645245,n.s.,0.1210976144439292,n.s.,0.2640794176741107,n.s.,0.21685032071914367,n.s.
word_freq_zipf,5.911995846190733,0.19541258503454495,5.645277886926172,0.23407208687954692,-0.266717959264561,-4.511470681029232,-1.3165503145907473,Large,3.4016727995780955e-12,***,4.1876371632581865e-15,***,2.8729611091818563e-13,***,0.058084104120244895,n.s.
